org_name,ein,name,title,comp,is_executive
African Cultural Alliance of North America,233062024,Voffee Jabateh,Executive Director,"$122,646",yes
African Cultural Alliance of North America,233062024,Sarian Jabateh,Financial Manager,"$69,876",
African Cultural Alliance of North America,233062024,Betty Marshall,Chairman,$0,
African Cultural Alliance of North America,233062024,John Gblah,Co Chair Finance,$0,
African Cultural Alliance of North America,233062024,David Fair,Treasurer,$0,
African Cultural Alliance of North America,233062024,Joseph Kumi,Board Member,$0,
African Cultural Alliance of North America,233062024,Kafala Turay,Board Member,$0,
African Cultural Alliance of North America,233062024,Quibila Divine,Board Member,$0,
African Cultural Alliance of North America,233062024,Lisa Dooley,Board Member,$0,
Arab-American CDC,311620684,Asif Hussein,President,$0,yes
Arab-American CDC,311620684,Thaier Darwich,Secretary,$0,
Arab-American CDC,311620684,Chukri Khorchid,Vice President,$0,
Asociación Puertorriqueños en Marcha (APM),231930630,Nilda I Ruiz,President/Ceo,"$443,441",yes
Asociación Puertorriqueños en Marcha (APM),231930630,Hector Colon Rivera,Medical Director,"$299,029",
Asociación Puertorriqueños en Marcha (APM),231930630,Manuel Delgado,Chief Operating Officer,"$198,084",
Asociación Puertorriqueños en Marcha (APM),231930630,Chanell Hanns,Chief Financial Officer,"$193,014",
Asociación Puertorriqueños en Marcha (APM),231930630,Rose Gray Hesington,Sr.Vp Of Community Economic De,"$165,889",
Asociación Puertorriqueños en Marcha (APM),231930630,Rasak Azeez,Sr.Vp Of Asset Management,"$165,830",
Asociación Puertorriqueños en Marcha (APM),231930630,Pelayo Coll Esq,Board Chair,$0,
Asociación Puertorriqueños en Marcha (APM),231930630,Jonathan J Hood,1 St Vice Chair,$0,
Asociación Puertorriqueños en Marcha (APM),231930630,April G Henry,2nd Vice Chair,$0,
Asociación Puertorriqueños en Marcha (APM),231930630,Imani N Green,Board Secretary,$0,
Beech Interplex,521693162,Kenneth Scott,President Ce,"$120,000",yes
Beech Interplex,521693162,Bernard Savage,Secretary,"$85,000",
Beech Interplex,521693162,Richard Bazelon Esq,Chairman,$0,
Beech Interplex,521693162,Shirley Gregory,Director,$0,
Beech Interplex,521693162,Rev William B Moore,Director,$0,
Called To Serve CDC,464404323,Jeffrey Harley,Former Ed,"$42,423",
Called To Serve CDC,464404323,Michael Major,President,$0,yes
Called To Serve CDC,464404323,Ebaby K Benold,Treasurer,$0,
Called To Serve CDC,464404323,Mallory Sanford,Secretary,$0,
Called To Serve CDC,464404323,Christina Kind,Board Member,$0,
Called To Serve CDC,464404323,Shani Newton,Board Member,$0,
Centennial Parkside CDC,474815728,Jessi Ray Koch,Executive Director,"$77,289",yes
Centennial Parkside CDC,474815728,Chris Spahr,Executive Director,"$17,860",
Centennial Parkside CDC,474815728,Joyce Smith,Interim President,$0,
Centennial Parkside CDC,474815728,Ronald Coleman,Treasurer,$0,
Centennial Parkside CDC,474815728,Ryan Schumann,Secretary,$0,
Centennial Parkside CDC,474815728,Lorraine Gomez,Rco Chair,$0,
Centennial Parkside CDC,474815728,Nancy Boyd,Trustee,$0,
Centennial Parkside CDC,474815728,Asha Le Davis,Trustee,$0,
Centennial Parkside CDC,474815728,Radee Hammett,Trustee,$0,
Centennial Parkside CDC,474815728,Bethany Houseman,Trustee,$0,
Chestnut Hill CDC,274673757,Courtney O Neill,Executive Dir.,"$40,766",
Chestnut Hill CDC,274673757,Richard Snowden,President,$0,yes
Chestnut Hill CDC,274673757,Robert Elfant,Treasurer,$0,
Chestnut Hill CDC,274673757,Susie O'neil,Secretary,$0,
